ID,Men,Women,=>40,<40
200401,454,189,56,587
200402,910,491,50,1351
200403,1838,1267,187,2918
200404,8437,7117,984,14570
200405,9778,7082,2830,14030
200406,11223,8072,2818,16477
200407,17096,14795,1759,30132
200408,25014,20587,1298,44303
200409,12737,10015,2335,20417
200410,8337,6219,1648,12908
200411,2454,1956,370,4040
200412,2105,1697,222,3580
200501,196,73,9,260
200502,333,232,23,542
200503,1875,1246,92,3029
200504,1944,1363,472,2835
200505,5635,3675,2049,7261
200506,7859,4760,2716,9903
200507,10677,8127,1204,17600
200508,14468,10363,805,24026
200509,7155,5013,1613,10555
200510,4142,2731,1261,5612
200511,928,460,140,1248
200512,495,173,29,639
200601,241,83,19,305
200602,225,126,18,333
200603,710,386,68,1028
200604,4333,3118,559,6892
200605,6212,3935,2520,7627
200606,8037,4974,2874,10137
200607,10513,8207,1144,17576
200608,15373,10810,888,25295
200609,7819,5651,2167,11303
200610,4602,3098,1447,6253
200611,1167,588,213,1542
200612,605,243,52,796
200701,252,98,20,330
200702,418,247,24,641
200703,1057,623,133,1547
200704,4690,3425,973,7142
200705,7725,5199,3220,9704
200706,9110,6072,3299,11883
200707,11295,8861,1458,18698
200708,15912,11377,1111,26178
200709,8802,6480,2525,12757
200710,5633,3810,1863,7580
200711,1537,959,270,2226
200712,559,236,31,764
200801,211,95,19,287
200802,486,217,22,681
200803,3023,2304,283,5044
200804,3391,2257,1093,4555
200805,9506,6495,3825,12176
200806,9370,6534,3733,12171
200807,11583,9483,1530,19536
200808,17558,12438,1197,28799
200809,10138,7240,2969,14409
200810,5771,4107,2071,7807
200811,1543,766,285,2024
200812,660,425,79,1006
200901,345,178,24,499
200902,482,216,35,663
200903,1224,626,172,1678
200904,5990,4326,1012,9304
200905,10048,6450,3960,12538
200906,11591,7763,4092,15262
200907,15193,11559,1858,24894
200908,20661,14885,1401,34145
200909,11973,8650,3334,17289
200910,6989,4742,2419,9312
200911,1583,770,291,2062
200912,716,294,78,932
201001,788,400,91,1097
201002,1109,531,83,1557
201003,3462,2421,485,5398
201004,11000,8587,2249,17338
201005,16564,12282,6290,22556
201006,19477,14279,6428,27328
201007,22571,19895,3665,38801
201008,33988,27546,2798,58736
201009,20157,16691,5805,31043
201010,14779,11819,4525,22073
201011,4485,3590,1071,7004
201012,3330,2637,531,5436
201101,437,207,25,619
201102,558,262,39,781
201103,1912,1111,176,2847
201104,7929,6225,1459,12695
201105,11644,8161,5125,14680
201106,15220,10019,5514,19725
201107,17167,13675,2606,28236
201108,23665,17824,2019,39470
201109,14546,11477,4680,21343
201110,9436,6807,3317,12926
201111,2246,1345,452,3139
201112,1074,424,78,1420
201201,577,295,57,815
201202,821,484,68,1237
201203,2006,1254,310,2950
201204,8260,6489,1812,12937
201205,12355,9421,5813,15963
201206,14948,10569,5870,19647
201207,17741,15077,2564,30254
201208,23175,17921,2058,39038
201209,14856,12465,5265,22056
201210,10411,7680,4001,14090
201211,2646,1524,484,3686
201212,994,489,141,1342
201301,559,247,46,760
201302,873,509,53,1329
201303,3871,3357,450,6778
201304,6588,4944,1898,9634
201305,13652,11553,6875,18330
201306,16747,12627,6700,22674
201307,19228,17331,3264,33295
201308,25332,21394,2540,44186
201309,16378,14516,6093,24801
201310,10622,8985,4681,14926
201311,2943,1964,671,4236
201312,1077,582,187,1472
201401,596,310,62,844
201402,623,347,87,883
201403,1959,1191,301,2849
201404,9323,8024,2113,15234
201405,15127,12227,7701,19653
201406,18218,14803,7910,25111
201407,20817,18764,3743,35838
201408,27466,23752,2973,48245
201409,17972,16485,7429,27028
201410,12246,10959,5598,17607
201411,2893,1910,698,4105
201412,1260,610,158,1712
201501,783,434,53,1164
201502,951,593,73,1471
201503,2832,2248,415,4665
201504,9186,8535,2666,15055
201505,17122,13954,8523,22553
201506,19253,16670,8867,27056
201507,22947,21847,4458,40336
201508,29070,25724,3207,51587
201509,18949,18480,8277,29152
201510,13352,12224,6312,19264
201511,3104,2124,721,4507
201512,1368,694,163,1899
201601,893,411,83,1221
201602,1113,620,133,1600
201603,5816,5251,782,10285
201604,8028,7072,3109,11991
201605,17073,15703,9476,23300
201606,20553,18517,10062,29008
201607,22993,22478,4780,40691
201608,27893,25811,3694,50010
201609,19668,20481,9037,31112
201610,14405,13817,6797,21425
201611,3740,2654,971,5423
201612,1859,1005,317,2547
201701,914,440,73,1281
201702,1120,576,131,1565
201703,2882,2294,537,4639
201704,13422,13503,3419,23506
201705,17858,17489,10453,24894
201706,21077,20542,9965,31654
201707,23880,23590,4919,42551
201708,29892,27788,3858,53822
201709,20172,22017,9501,32688
201710,15802,15539,8096,23245
201711,4289,3057,1148,6198
201712,1862,1031,247,2646
201801,1046,581,0,0
201802,1332,849,0,0
201803,5736,5320,0,0
201804,10766,11302,0,0
201805,19846,20819,11681,28984
201806,22743,22942,0,0
201807,24835,26032,0,0
201808,30448,29967,0,0
201809,22353,24653,0,0
201810,17484,18118,0,0
201811,4307,3344,0,0
201812,1644,909,0,0
201901,1088,563,131,1520
201902,1245,874,230,1889
201903,3922,3552,940,6534
201904,15209,16513,4703,27019
201905,22508,24165,13731,32942
201906,24339,24719,11813,37245
201907,25778,27541,5972,47347
201908,31357,31457,4996,57818
201909,20746,24907,10780,34873
201910,17316,18802,10135,25983
201911,4589,3685,1386,6888
201912,1685,1025,286,2424
202001,1236,765,172,1829
202002,1835,1241,247,2829
202003,1062,886,199,1749
202006,9,3,0,0
202007,5400,4352,0,0
202008,10599,9213,2,10
202009,5838,4603,636,9116
202010,3816,2602,1118,18694
202011,371,214,1291,9150
202012,55,44,839,5579
202101,45,15,56,529
202102,10,4,3,96
202103,105,89,4,56
202104,486,538,0,14
202105,2155,2140,19,175
202106,7809,7015,82,942
202107,16499,17464,628,3667
202108,21313,22262,2368,12456
202109,18727,18735,3529,30434
202110,16241,14929,3491,40084
202111,4857,4237,8058,29405
202112,678,515,7862,23308
202201,917,700,1773,7321
202202,1166,868,134,1059
202203,3896,3493,133,1484
202204,15639,18644,237,1797
202205,22796,25458,1104,6285
202206,28175,29837,5487,28796
202207,31151,36223,15379,32875
202208,40301,45541,14920,43092
202209,30514,35681,8313,59061
202210,24511,26845,7136,78706
,,,16672,49524
,,,14104,37252
